rankingName,rankingUrlCode,rankingYear,subject,rankingUrl,csvFileName
TIMES-Subject,times,2012,农业与林业学Agriculture and Forestry,https://ranking.promisingedu.com/2012-times-en-undergraduate-agriculture_and_forestry,TIMES_2012_农业与林业学Agriculture and Forestry.csv
TIMES-Subject,times,2012,美洲研究American Studies,https://ranking.promisingedu.com/2012-times-en-undergraduate-american_studies,TIMES_2012_美洲研究American Studies.csv
TIMES-Subject,times,2012,解剖与生理学Anatomy and Physiology,https://ranking.promisingedu.com/2012-times-en-undergraduate-anatomy_and_physiology,TIMES_2012_解剖与生理学Anatomy and Physiology.csv
TIMES-Subject,times,2012,人类学Anthropology,https://ranking.promisingedu.com/2012-times-en-undergraduate-anthropology,TIMES_2012_人类学Anthropology.csv
TIMES-Subject,times,2012,考古学Archaeology,https://ranking.promisingedu.com/2012-times-en-undergraduate-archaeology,TIMES_2012_考古学Archaeology.csv
TIMES-Subject,times,2012,建筑学Architecture,https://ranking.promisingedu.com/2012-times-en-undergraduate-architecture,TIMES_2012_建筑学Architecture.csv
TIMES-Subject,times,2012,艺术与设计Art and Design,https://ranking.promisingedu.com/2012-times-en-undergraduate-art_and_design,TIMES_2012_艺术与设计Art and Design.csv
TIMES-Subject,times,2012,生物科学Biological Sciences,https://ranking.promisingedu.com/2012-times-en-undergraduate-biological_sciences,TIMES_2012_生物科学Biological Sciences.csv
TIMES-Subject,times,2012,建筑Building,https://ranking.promisingedu.com/2012-times-en-undergraduate-building,TIMES_2012_建筑Building.csv
TIMES-Subject,times,2012,商科Business Studies,https://ranking.promisingedu.com/2012-times-en-undergraduate-business_studies,TIMES_2012_商科Business Studies.csv
TIMES-Subject,times,2012,凯尔特研究Celtic Studies,https://ranking.promisingedu.com/2012-times-en-undergraduate-celtic_studies,TIMES_2012_凯尔特研究Celtic Studies.csv
TIMES-Subject,times,2012,化学工程Chemical Engineering,https://ranking.promisingedu.com/2012-times-en-undergraduate-chemical_engineering,TIMES_2012_化学工程Chemical Engineering.csv
TIMES-Subject,times,2012,化学Chemistry,https://ranking.promisingedu.com/2012-times-en-undergraduate-chemistry,TIMES_2012_化学Chemistry.csv
TIMES-Subject,times,2012,土木工程Civil Engineering,https://ranking.promisingedu.com/2012-times-en-undergraduate-civil_engineering,TIMES_2012_土木工程Civil Engineering.csv
TIMES-Subject,times,2012,古典文学与古代历史Classics and Ancient History,https://ranking.promisingedu.com/2012-times-en-undergraduate-classics_and_ancient_history,TIMES_2012_古典文学与古代历史Classics and Ancient History.csv
TIMES-Subject,times,2012,通信和媒体研究Communication and Media Studies,https://ranking.promisingedu.com/2012-times-en-undergraduate-communication_and_media_studies,TIMES_2012_通信和媒体研究Communication and Media Studies.csv
TIMES-Subject,times,2012,计算机科学Computer Science,https://ranking.promisingedu.com/2012-times-en-undergraduate-computer_science,TIMES_2012_计算机科学Computer Science.csv
